epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.746,1.59248,2.47431,1.47399,0.63639,0.13846,0.17893,0.10181,1.85388,3.35523,1.51724,0.000650794,0.000650794,0.000650794
2,418.438,1.58238,1.98018,1.46479,0.43037,0.2,0.21,0.09188,1.93383,2.74223,1.62291,0.00129137,0.00129137,0.00129137
3,665.056,1.57729,1.85182,1.48445,0.29337,0.2,0.20746,0.10107,1.84577,3.04805,1.81144,0.00190556,0.00190556,0.00190556
4,890.68,1.55272,1.73192,1.46368,0.61896,0.41538,0.44219,0.19332,1.82725,2.658,1.51501,0.0018812,0.0018812,0.0018812
5,1368.89,1.55476,1.65818,1.44494,0.40328,0.51989,0.38221,0.20331,1.69703,2.11951,1.43045,0.0018416,0.0018416,0.0018416
6,1570.84,1.50309,1.60049,1.42387,0.68777,0.44063,0.54403,0.30186,1.41685,1.76877,1.25383,0.001802,0.001802,0.001802
7,2721.46,1.52113,1.49445,1.42198,0.58355,0.49231,0.56233,0.35985,1.41989,1.68883,1.23952,0.0017624,0.0017624,0.0017624
8,2910.12,1.47643,1.44157,1.39863,0.61632,0.49429,0.57877,0.33394,1.50075,1.53991,1.30142,0.0017228,0.0017228,0.0017228
9,3112.17,1.44874,1.36893,1.35484,0.64254,0.66154,0.73323,0.43593,1.38457,1.37112,1.26276,0.0016832,0.0016832,0.0016832
10,3308.5,1.44135,1.34316,1.3694,0.58376,0.67692,0.62044,0.36015,1.46766,1.39532,1.235,0.0016436,0.0016436,0.0016436
11,3492.61,1.41323,1.3515,1.36799,0.59787,0.63077,0.67452,0.37748,1.4303,1.48331,1.25528,0.001604,0.001604,0.001604
12,3684.47,1.38325,1.28097,1.34405,0.65753,0.66154,0.69593,0.43735,1.33728,1.18373,1.18969,0.0015644,0.0015644,0.0015644
13,3870.72,1.39992,1.30135,1.35935,0.72205,0.67944,0.75256,0.46797,1.24703,1.41712,1.17293,0.0015248,0.0015248,0.0015248
14,4057.23,1.36151,1.23332,1.32557,0.60577,0.73846,0.72162,0.45823,1.16191,1.21804,1.16106,0.0014852,0.0014852,0.0014852
15,4246.03,1.33707,1.19543,1.31769,0.64435,0.75258,0.76446,0.48863,1.3133,1.13918,1.23269,0.0014456,0.0014456,0.0014456
16,4433.24,1.30188,1.16181,1.28256,0.68336,0.72308,0.75392,0.50787,1.24631,1.20306,1.17541,0.001406,0.001406,0.001406
17,4619.81,1.30404,1.16357,1.27393,0.7007,0.69231,0.77488,0.51671,1.21721,1.12601,1.13738,0.0013664,0.0013664,0.0013664
18,4849.71,1.32638,1.16703,1.28962,0.61913,0.78462,0.76302,0.47444,1.24536,1.25785,1.15899,0.0013268,0.0013268,0.0013268
19,5087.31,1.27779,1.12101,1.26651,0.67785,0.7122,0.7663,0.5074,1.19242,1.08666,1.1174,0.0012872,0.0012872,0.0012872
20,5324.86,1.30248,1.10048,1.278,0.68328,0.73023,0.77565,0.53841,1.13492,1.07136,1.11348,0.0012476,0.0012476,0.0012476
21,5563.1,1.27622,1.08535,1.2676,0.74398,0.69231,0.78991,0.49877,1.29002,1.11864,1.18221,0.001208,0.001208,0.001208
22,5803.63,1.29288,1.10004,1.25637,0.78796,0.81538,0.85704,0.56802,1.15636,0.96527,1.09734,0.0011684,0.0011684,0.0011684
23,6698.53,1.22972,1.03478,1.24062,0.78882,0.74714,0.8328,0.54388,1.14843,0.96614,1.11809,0.0011288,0.0011288,0.0011288
24,6947.52,1.23169,1.05477,1.24983,0.84134,0.65272,0.83841,0.53707,1.16718,1.11329,1.09609,0.0010892,0.0010892,0.0010892
25,7195.32,1.224,1.01757,1.23594,0.74386,0.83077,0.8515,0.58557,1.11464,0.89932,1.08729,0.0010496,0.0010496,0.0010496
26,7444.92,1.23229,1.0009,1.23564,0.94443,0.78441,0.89651,0.60749,1.11154,0.88323,1.05658,0.00101,0.00101,0.00101
27,7693.6,1.19844,1.00768,1.23232,0.81303,0.83077,0.87039,0.61318,1.04142,0.90033,1.05367,0.0009704,0.0009704,0.0009704
28,38290.5,1.20104,0.99719,1.21123,0.8106,0.87692,0.90765,0.65332,1.02334,0.85098,1.03052,0.0009308,0.0009308,0.0009308
29,38482.5,1.14963,0.93843,1.20528,0.80562,0.83077,0.8786,0.62721,1.05299,0.86164,1.05399,0.0008912,0.0008912,0.0008912
30,38670.7,1.19679,0.96679,1.20908,0.77784,0.86183,0.90681,0.6566,1.01227,0.7762,1.03666,0.0008516,0.0008516,0.0008516
31,38860.6,1.15794,0.91988,1.1964,0.76671,0.78462,0.86796,0.60874,1.00747,0.83682,1.03615,0.000812,0.000812,0.000812
32,39050.9,1.15902,0.93792,1.20095,0.86124,0.85943,0.90916,0.67,0.98411,0.80396,1.02482,0.0007724,0.0007724,0.0007724
33,39252.1,1.1267,0.89549,1.1695,0.82088,0.86154,0.91982,0.66254,1.0532,0.7911,1.04177,0.0007328,0.0007328,0.0007328
34,39443.4,1.11699,0.87539,1.16403,0.86945,0.89231,0.93806,0.67341,1.02634,0.86409,1.02485,0.0006932,0.0006932,0.0006932
35,39632.8,1.12436,0.84741,1.16481,0.91578,0.83654,0.93451,0.68464,0.95891,0.70366,1.00188,0.0006536,0.0006536,0.0006536
36,39822.4,1.0745,0.83262,1.14919,0.81653,0.92308,0.92952,0.68122,0.96946,0.69717,1.01843,0.000614,0.000614,0.000614
37,40014.5,1.0838,0.82191,1.15711,0.8885,0.85821,0.93455,0.69168,0.92221,0.73075,0.98835,0.0005744,0.0005744,0.0005744
38,40206.1,1.09034,0.823,1.15224,0.85694,0.92155,0.94535,0.72007,0.89396,0.74329,0.9827,0.0005348,0.0005348,0.0005348
39,40422.8,1.05782,0.81124,1.1375,0.91876,0.89231,0.96701,0.7265,0.91817,0.63268,0.98583,0.0004952,0.0004952,0.0004952
40,40610.4,1.05876,0.79769,1.13107,0.96724,0.90769,0.97267,0.7263,0.93561,0.644,1.00001,0.0004556,0.0004556,0.0004556
41,40795.2,0.99709,0.78425,1.11138,0.85366,0.89231,0.93989,0.69772,0.92706,0.74415,1.01286,0.000416,0.000416,0.000416
42,40979,0.96855,0.72142,1.08752,0.83087,0.90769,0.91381,0.69357,0.92552,0.70811,0.98613,0.0003764,0.0003764,0.0003764
43,41163.4,0.93652,0.6775,1.07309,0.92031,0.92308,0.97543,0.73969,0.87465,0.58235,0.97052,0.0003368,0.0003368,0.0003368
44,41348,0.94316,0.6655,1.07367,0.93521,0.88837,0.95825,0.74385,0.85229,0.59553,0.95716,0.0002972,0.0002972,0.0002972
45,41533,0.93388,0.6798,1.06215,0.93538,0.87692,0.96709,0.7379,0.89929,0.58768,0.97052,0.0002576,0.0002576,0.0002576
46,41719.7,0.92545,0.64485,1.05883,0.98038,0.87692,0.96842,0.75118,0.87508,0.57065,0.95872,0.000218,0.000218,0.000218
47,41905.9,0.90568,0.62437,1.03995,0.967,0.90168,0.97495,0.75325,0.86138,0.56212,0.9569,0.0001784,0.0001784,0.0001784
48,42092.8,0.8849,0.61586,1.03604,0.95987,0.90769,0.97733,0.75595,0.87922,0.54001,0.9609,0.0001388,0.0001388,0.0001388
49,42276.5,0.87912,0.60908,1.02978,0.95407,0.92308,0.97598,0.76601,0.84459,0.53007,0.94636,9.92e-05,9.92e-05,9.92e-05
50,42463,0.87357,0.60029,1.02694,0.95341,0.94465,0.9776,0.77305,0.82746,0.51636,0.93343,5.96e-05,5.96e-05,5.96e-05
